Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,tissue,integratedMoas,GeneTargets,canonical_inchi_key,canonical_inchi,perturbagen_id,canonical_smiles,max_fda_phase
Input,Guanadrel,0.34153043,InputSig,NA,NA,LINCSCP_121369,HT29,1.11uM,24h,large intestine,Norepinephrine transporter substrate,SLC6A2,HPBNRIOWIXYZFK-UHFFFAOYSA-N,"InChI=1S/C10H19N3O2/c11-9(12)13-6-8-7-14-10(15-8)4-2-1-3-5-10/h8H,1-7H2,(H4,11,12,13)",40041,NC(=N)NCC1COC2(CCCCC2)O1,4
Input,CGP 60474,0.32910191,InputSig,NA,NA,LINCSCP_131611,MCF10A,3.33uM,3h,breast epithelial,CDK inhibitor,CDK1,IYNDTACKOAXKBJ-UHFFFAOYSA-N,"InChI=1S/C18H18ClN5O/c19-14-3-1-4-15(12-14)23-18-22-9-6-16(24-18)13-5-8-21-17(11-13)20-7-2-10-25/h1,3-6,8-9,11-12,25H,2,7,10H2,(H,20,21)(H,22,23,24)",16652,OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2,NA
Input,PG 490,0.32698235,InputSig,NA,NA,LINCSCP_19450,HCC515,0.1uM,6h,lung,RNA polymerase inhibitor,NA,DFBIRQPKNDILPW-KTGKZQHOSA-N,"InChI=1S/C20H24O6/c1-8(2)18-13(25-18)14-20(26-14)17(3)5-4-9-10(7-23-15(9)21)11(17)6-12-19(20,24-12)16(18)22/h8,11-14,16,22H,4-7H2,1-3H3/t11?,12-,13-,14-,16+,17-,18-,19+,20+/m0/s1",23403,CC(C)[C@]12O[C@H]1[C@@H]3O[C@@]34[C@@]5(C)CCC6=C(COC6=O)C5C[C@@H]7O[C@]47[C@@H]2O,NA
Input,ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,0.32428694,InputSig,NA,NA,LINCSCP_124770,HT29,3.33uM,24h,large intestine,NA,NA,KCXVZYZYPLLWCC-UHFFFAOYSA-N,"InChI=1S/C10H16N2O8/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20)",26934,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,3
Input,3-Chloro-l-alanine,0.32186464,InputSig,NA,NA,LINCSCP_9804,A549,0.5uM,6h,lung,Protein synthesis inhibitor,RPS2,ASBJGPTTYPEMLP-REOHCLBHSA-N,"InChI=1S/C3H6ClNO2/c4-1-2(5)3(6)7/h2H,1,5H2,(H,6,7)/t2-/m0/s1",12647,N[C@@H](CCl)C(=O)O,NA
Input,PHA-793887,0.31778929,InputSig,NA,NA,LINCSCP_163937,SKBR3,0.37uM,3h,breast,CDK inhibitor,CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9,HUXYBQXJVXOMKX-UHFFFAOYSA-N,"InChI=1S/C19H31N5O2/c1-12(2)10-15(25)20-17-14-11-24(19(3,4)16(14)21-22-17)18(26)13-6-8-23(5)9-7-13/h12-13H,6-11H2,1-5H3,(H2,20,21,22,25)",15128,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C3CCN(C)CC3)C2(C)C,1
Input,Navitoclax,0.31421329,InputSig,NA,NA,LINCSCP_97198,HA1E,0.04uM,24h,kidney epithelial,BCL inhibitor,BCL2|BCL2L1|BCL2L2,JLYAXFNOILIKPP-KXQOOQHDSA-N,"InChI=1S/C47H55ClF3N5O6S3/c1-46(2)20-18-42(34-8-12-37(48)13-9-34)36(31-46)32-55-22-24-56(25-23-55)39-14-10-35(11-15-39)45(57)53-65(60,61)41-16-17-43(44(30-41)64(58,59)47(49,50)51)52-38(19-21-54-26-28-62-29-27-54)33-63-40-6-4-3-5-7-40/h3-17,30,38,52H,18-29,31-33H2,1-2H3,(H,53,57)/t38-/m1/s1",16188,CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7,2
Input,CHEMBL1673039,0.30956552,InputSig,NA,NA,LINCSCP_235517,MCF10A,0.1uM,6h,breast epithelial,Leucine rich repeat kinase inhibitor|MAP kinase inhibitor,LRRK2|MAPK7,DDTPGANIPBKTNU-UHFFFAOYSA-N,"InChI=1S/C25H29N7O2/c1-29-11-13-32(14-12-29)17-9-10-19(22(15-17)34-4)27-25-26-16-21-23(28-25)30(2)20-8-6-5-7-18(20)24(33)31(21)3/h5-10,15-16H,11-14H2,1-4H3,(H,26,27,28)",15131,COc1cc(ccc1Nc2ncc3N(C)C(=O)c4ccccc4N(C)c3n2)N5CCN(C)CC5,NA
Input,AT-7519,0.30898741,InputSig,NA,NA,LINCSCP_131701,MCF10A,3.33uM,3h,breast epithelial,CDK inhibitor|Cell cycle inhibitor,CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9,OVPNQJVDAFNBDN-UHFFFAOYSA-N,"InChI=1S/C16H17Cl2N5O2/c17-10-2-1-3-11(18)13(10)15(24)22-12-8-20-23-14(12)16(25)21-9-4-6-19-7-5-9/h1-3,8-9,19H,4-7H2,(H,20,23)(H,21,25)(H,22,24)",36797,Clc1cccc(Cl)c1C(=O)Nc2c[nH]nc2C(=O)NC3CCNCC3,2
Input,AZD-5438,0.3053139,InputSig,NA,NA,LINCSCP_131682,MCF10A,10uM,3h,breast epithelial,CDK inhibitor,CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9,WJRRGYBTGDJBFX-UHFFFAOYSA-N,"InChI=1S/C18H21N5O2S/c1-12(2)23-13(3)20-11-17(23)16-9-10-19-18(22-16)21-14-5-7-15(8-6-14)26(4,24)25/h5-12H,1-4H3,(H,19,21,22)",17553,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)C)n2,1
