integratedMoas,Target,GeneTargets,N
HDAC inhibitor,"NCH-51|5-Nitroso-8-cinnolinol|Entinostat|Mocetinostat|SCHEMBL2704865|Tacedinaline|CAY10603|BML 210|4LY1|Trichostatin|M-344|Apicidin|Oxamflatin|Scriptaid|BG-51|Trichostatin A, Streptomyces Sp.|Belinostat|LBH-589|Tubastatin A|Apatinib Hydrochloride|Broad-Sai-560|Quisinostat|Panobinostat",HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|NA|MDM2,111
VEGFR inhibitor,KI8751|Oxindole I|sorafenib|Tivozanib|Linifanib|Sorafenib|Foretinib|Dovitinib|sunitinib|ZM323881|Cediranib|Axitinib|PD-173074|Tyrphostin AG 879|MGCD-265,KDR|BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KIT|PDGFRB|RAF1|RET|PDGFRA|CSF1R|MET|TEK|EGFR|FGFR2|FGFR3|ERBB2|NTRK1|AXL|MST1R,87
FLT3 inhibitor,Fedratinib|Tozasertib|sorafenib|Amuvatinib|Sorafenib|Quizartinib|AT-9283|Dovitinib|sunitinib|Midostaurin,FLT3|JAK2|ABL1|AURKA|AURKB|AURKC|BCR|BRAF|DDR2|FGFR1|FLT1|FLT4|KDR|KIT|PDGFRB|RAF1|RET|MET|PDGFRA|CSF1R|JAK3|EGFR|FGFR2|FGFR3|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3,82
KIT inhibitor,KI8751|sorafenib|Amuvatinib|Sorafenib|Imatinib|sunitinib|Cediranib|Midostaurin,KDR|BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KIT|PDGFRB|RAF1|RET|MET|PDGFRA|ABL1|BCR|CSF1R|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3,63
PDGFR tyrosine kinase receptor inhibitor,KI8751|sorafenib|Amuvatinib|Linifanib|Sorafenib|Dovitinib|Imatinib|sunitinib|Axitinib,KDR|BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KIT|PDGFRB|RAF1|RET|MET|PDGFRA|CSF1R|EGFR|FGFR2|FGFR3|ABL1|BCR,62
NFkB pathway inhibitor,"BRD-A24396574-001-01-5|IMD-0354|BSPBIO_001592|BRD-A80960055-001-01-7|(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one|Manumycin-A|BAY-117821|BDBM50127227|Auranofin|179324-69-7|Ursolic acid|ZINC27645180|Avicin-G|Avicin-D|SPBIO_003097|Curcumin|9-Methyl-5H-6-thia-4,5-diaza-chrysene 6,6-dioxide",NA|IKBKB|PTGS1|PTGS2|FNTA|ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1|HSD11B1|PTPN1|NFKB1|TNF,61
Dopamine receptor antagonist,"Pimozide|Cis-N,N-Dimethyl-9-(3-(1-Piperazinyl)Propylidene)Thioxanthene-2-Sulfonamide|AY 62021|Fluspirilene|Thiothixene|Chlorprothixene|Risperidone|SCHEMBL8038519|Thioproperazine|Sulpiride|GR-103691|Amoxapine",DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A|HTR2C|ADRA1A|ADRA1B|HRH1|HTR1A|HTR1D|ADRA2A|ADRA2B|ADRA2C|HTR6|HTR7|NA|CA7|SLC6A2|SLC6A4,58
Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a,Chlorpromazine|Pimozide|Thioridazine|Trifluoperazine|Trimipramine|Haloperidol|Promazine,ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|ADRA1A|ADRA1B|ADRA1D|SLC6A2|SLC6A3|SLC6A4|CHRM5,51
Proteasome inhibitor,SCH-79797|MG-132|179324-69-7|CHEMBL210901|MLN 2238,F2R|PSMB1|ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1|NA,42
Tyrosine-protein kinase TIE-2 inhibitor,Vandetanib|Regorafenib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|ABL1|BRAF|DDR2|FGFR1|FGFR2|FRK|KIT|MAPK11|PDGFRA|PDGFRB|RAF1,41
